                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6465,                 1.8821,                 1.7853,                0.82262,                0.72087,                0.81012,                0.45579,                 1.5282,                 1.0217,                 1.7199,               0.070131,              0.0033188,              0.0033188
                      1,                 1.4196,                 1.2315,                 1.5946,                0.68404,                0.64457,                0.69469,                0.32216,                 1.8909,                 1.3908,                 2.1766,               0.040037,               0.006558,               0.006558
                      2,                 1.4574,                 1.2577,                 1.5903,                0.85567,                0.68952,                0.79404,                0.46412,                 1.4594,                  1.121,                 1.7295,              0.0098486,               0.009703,               0.009703
                      3,                 1.4866,                 1.2954,                 1.6118,                0.85378,                0.72935,                0.80485,                0.41101,                 1.6938,                 1.0883,                 1.8917,              0.0095757,              0.0095757,              0.0095757
                      4,                 1.4577,                   1.26,                 1.6009,                0.83567,                0.80435,                0.86778,                0.50985,                 1.4054,                 1.0438,                 1.7088,              0.0095757,              0.0095757,              0.0095757
                      5,                 1.4277,                  1.201,                  1.582,                0.81444,                0.81578,                0.86149,                0.54875,                 1.2499,                 1.2447,                 1.5557,              0.0094343,              0.0094343,              0.0094343
                      6,                  1.375,                 1.1215,                 1.5462,                0.81442,                0.76413,                0.80946,                0.45746,                 1.5691,                 1.1251,                 1.8307,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.3358,                 1.0821,                 1.5241,                0.90762,                0.81957,                0.90762,                0.58337,                 1.2229,                0.76285,                  1.505,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.3169,                 1.0414,                 1.5183,                 0.8816,                0.85789,                0.90557,                 0.6139,                 1.0598,                0.70641,                 1.3788,                0.00901,                0.00901,                0.00901
                      9,                 1.3033,                 1.0272,                 1.4939,                0.85967,                0.86087,                0.91157,                0.62969,                 1.0998,                0.69587,                 1.4269,              0.0088686,              0.0088686,              0.0088686
