                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3003,                 1.8174,                 1.6375,                0.69535,                0.68192,                0.75457,                0.44378,                 1.3129,                 1.2861,                 1.8029,               0.070175,              0.0033138,              0.0033138
                      1,                 1.1222,                 1.1621,                  1.435,                0.80415,                0.76826,                0.81238,                0.48886,                 1.3743,                 1.0732,                 1.8887,               0.040081,              0.0065532,              0.0065532
                      2,                 1.1648,                 1.2089,                  1.453,                0.56826,                0.56963,                0.55865,                0.29536,                 1.6689,                 2.0395,                 2.3601,              0.0098931,              0.0096982,              0.0096982
                      3,                 1.2774,                 1.3098,                 1.5527,                0.64727,                 0.5965,                0.64568,                0.31396,                 1.7114,                 1.4814,                 2.3056,              0.0095757,              0.0095757,              0.0095757
                      4,                 1.2621,                 1.2695,                 1.5274,                0.72734,                0.58274,                0.65468,                0.33812,                 1.6447,                 1.4158,                 2.2383,              0.0095757,              0.0095757,              0.0095757
                      5,                 1.2182,                 1.2289,                 1.5069,                0.48548,                0.60811,                0.57654,                 0.3061,                 1.5652,                  2.592,                  2.078,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.2007,                 1.1819,                 1.4974,                0.58625,                 0.6989,                0.57764,                0.29132,                 1.5444,                 1.9048,                 2.0566,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.1668,                 1.1134,                 1.4833,                0.68803,                0.71279,                0.74851,                0.41566,                 1.4405,                 1.2755,                 1.9312,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.1329,                 1.0825,                 1.4548,                0.76053,                0.73906,                0.80001,                 0.4823,                 1.3286,                 1.0356,                 1.8324,                0.00901,                0.00901,                0.00901
                      9,                 1.1341,                 1.0741,                 1.4462,                0.80862,                0.70501,                0.79568,                0.48625,                 1.3159,                  1.098,                 1.8251,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.0898,                 1.0198,                 1.4229,                0.71226,                0.72938,                0.78591,                0.48153,                 1.3515,                 1.1518,                 1.8195,              0.0087271,              0.0087271,              0.0087271
                     11,                 1.0747,                 1.0222,                 1.4073,                0.81231,                 0.7004,                0.79373,                0.47714,                 1.3568,                 1.0841,                 1.8631,              0.0085857,              0.0085857,              0.0085857
                     12,                 1.0335,                0.97259,                 1.3898,                0.74803,                0.72507,                0.77319,                0.45253,                 1.3805,                 1.0281,                 1.9111,              0.0084443,              0.0084443,              0.0084443
                     13,                 1.0479,                0.95465,                 1.3898,                0.82897,                0.76091,                0.83507,                0.52092,                 1.3135,                0.95851,                 1.7722,              0.0083029,              0.0083029,              0.0083029
                     14,                 1.0274,                0.95636,                 1.3779,                0.77723,                0.77091,                0.81835,                0.51845,                 1.2977,                0.97548,                 1.8374,              0.0081614,              0.0081614,              0.0081614
                     15,                 1.0082,                0.94074,                 1.3559,                0.83113,                0.75372,                0.84686,                0.53984,                 1.2719,                0.89056,                 1.7449,                0.00802,                0.00802,                0.00802
                     16,                0.97651,                0.90744,                 1.3424,                0.75767,                0.76562,                0.81481,                0.51919,                 1.2773,                  1.006,                 1.7432,              0.0078786,              0.0078786,              0.0078786
                     17,                0.97967,                0.89148,                 1.3469,                0.87018,                0.76043,                 0.8487,                0.53233,                 1.2842,                0.87334,                 1.7823,              0.0077371,              0.0077371,              0.0077371
                     18,                0.99044,                0.87323,                 1.3399,                 0.7936,                0.75794,                0.81066,                0.50157,                 1.3064,                0.98601,                 1.7935,              0.0075957,              0.0075957,              0.0075957
                     19,                0.94851,                0.87181,                 1.3257,                0.84573,                0.75058,                0.84614,                0.52875,                 1.3053,                0.90449,                 1.7741,              0.0074543,              0.0074543,              0.0074543
                     20,                0.94709,                0.86871,                 1.3127,                0.79346,                0.77806,                0.83711,                0.52083,                 1.2713,                0.89844,                 1.7467,              0.0073129,              0.0073129,              0.0073129
                     21,                0.92054,                0.83377,                 1.3007,                0.79697,                0.75479,                0.83068,                0.51753,                 1.3211,                0.90905,                 1.7909,              0.0071714,              0.0071714,              0.0071714
                     22,                0.92135,                0.79974,                 1.2897,                0.85547,                0.77926,                0.85897,                0.55268,                 1.2625,                0.82235,                  1.749,                0.00703,                0.00703,                0.00703
                     23,                0.92773,                0.82723,                  1.296,                0.85086,                0.74489,                0.84059,                 0.5234,                 1.3199,                0.89245,                 1.7793,              0.0068886,              0.0068886,              0.0068886
                     24,                0.88952,                0.80146,                 1.2873,                0.80316,                0.75218,                 0.8285,                0.53179,                 1.2664,                 0.8688,                 1.7225,              0.0067471,              0.0067471,              0.0067471
                     25,                0.89469,                0.79289,                 1.2786,                0.81448,                0.76958,                0.83738,                0.53769,                  1.241,                0.87048,                 1.7357,              0.0066057,              0.0066057,              0.0066057
                     26,                0.88627,                 0.8045,                 1.2735,                0.80094,                0.81358,                0.85432,                0.55713,                 1.2975,                0.80901,                 1.7479,              0.0064643,              0.0064643,              0.0064643
                     27,                   0.86,                0.76048,                 1.2659,                0.78836,                0.81378,                0.85593,                0.55181,                 1.2573,                0.83312,                 1.7583,              0.0063229,              0.0063229,              0.0063229
                     28,                0.86016,                0.74358,                 1.2494,                0.76054,                0.74302,                0.79615,                0.48447,                 1.2896,                 1.0188,                 1.7709,              0.0061814,              0.0061814,              0.0061814
                     29,                0.84428,                0.75663,                 1.2542,                 0.7809,                0.79129,                0.84228,                 0.5397,                 1.2702,                0.87221,                 1.7463,                0.00604,                0.00604,                0.00604
                     30,                0.85532,                0.73783,                  1.251,                0.83989,                0.79467,                0.85609,                0.54692,                 1.2623,                  0.821,                 1.7243,              0.0058986,              0.0058986,              0.0058986
                     31,                0.84542,                0.73474,                 1.2434,                0.80987,                0.78427,                0.84678,                0.54515,                 1.2576,                0.85277,                 1.7182,              0.0057571,              0.0057571,              0.0057571
                     32,                0.84635,                0.74175,                 1.2405,                0.83703,                0.78943,                0.86164,                0.56207,                 1.2177,                0.79625,                 1.6758,              0.0056157,              0.0056157,              0.0056157
                     33,                0.80612,                0.70448,                 1.2292,                0.83248,                0.80016,                0.85886,                0.55657,                 1.2372,                0.75717,                 1.7187,              0.0054743,              0.0054743,              0.0054743
                     34,                0.82278,                0.70278,                 1.2293,                0.83119,                0.81107,                 0.8735,                0.56968,                 1.2343,                0.73264,                 1.7056,              0.0053329,              0.0053329,              0.0053329
                     35,                0.83024,                0.69767,                 1.2259,                0.85479,                0.76008,                 0.8477,                0.56266,                 1.2064,                0.82765,                 1.6722,              0.0051914,              0.0051914,              0.0051914
                     36,                0.81809,                0.68897,                 1.2243,                0.85217,                0.79923,                0.86855,                0.56208,                 1.2219,                0.78613,                 1.6834,                0.00505,                0.00505,                0.00505
                     37,                0.79738,                0.68157,                 1.2109,                 0.8308,                0.82404,                0.86607,                0.56888,                 1.1869,                0.77286,                 1.6692,              0.0049086,              0.0049086,              0.0049086
                     38,                 0.7975,                 0.6842,                 1.2063,                0.86528,                0.79371,                0.87312,                0.56621,                 1.2223,                0.80757,                 1.6801,              0.0047671,              0.0047671,              0.0047671
                     39,                0.78849,                0.65624,                 1.1926,                0.84451,                0.84386,                0.89184,                0.56786,                 1.2521,                0.75017,                 1.6881,              0.0046257,              0.0046257,              0.0046257
                     40,                0.78354,                 0.6605,                 1.1996,                0.90146,                  0.779,                 0.8716,                0.57865,                 1.2097,                 0.7374,                 1.6562,              0.0044843,              0.0044843,              0.0044843
                     41,                0.77426,                0.66175,                 1.1882,                0.82262,                 0.7786,                0.86629,                0.56261,                 1.2312,                0.78221,                 1.6877,              0.0043429,              0.0043429,              0.0043429
                     42,                0.77641,                0.66091,                 1.1959,                0.84268,                0.81789,                0.86941,                0.56001,                 1.2184,                0.78742,                 1.6724,              0.0042014,              0.0042014,              0.0042014
                     43,                0.77088,                 0.6359,                 1.1885,                0.82653,                0.81316,                0.86925,                0.58819,                 1.1802,                0.73449,                  1.638,                0.00406,                0.00406,                0.00406
                     44,                0.77049,                0.64153,                 1.1845,                0.82314,                0.83287,                 0.8648,                0.57391,                 1.2033,                 0.7644,                 1.6646,              0.0039186,              0.0039186,              0.0039186
                     45,                0.73779,                 0.6154,                 1.1772,                0.82788,                0.82818,                0.86962,                0.57959,                 1.1945,                0.73823,                 1.6442,              0.0037771,              0.0037771,              0.0037771
                     46,                0.74651,                0.63503,                 1.1761,                0.84461,                0.82385,                0.87912,                0.58757,                 1.1889,                 0.7055,                 1.6234,              0.0036357,              0.0036357,              0.0036357
                     47,                0.74995,                0.61159,                 1.1615,                0.84669,                0.82951,                0.87844,                0.58829,                  1.185,                0.70612,                 1.6348,              0.0034943,              0.0034943,              0.0034943
                     48,                0.75181,                0.62016,                 1.1737,                0.83658,                 0.8151,                0.87998,                0.57735,                 1.2211,                0.71533,                 1.6694,              0.0033529,              0.0033529,              0.0033529
                     49,                0.72946,                0.59675,                 1.1568,                0.85111,                0.80986,                0.87328,                0.57442,                 1.1846,                0.72483,                 1.6332,              0.0032114,              0.0032114,              0.0032114
                     50,                0.70549,                0.59329,                 1.1391,                0.82375,                0.80575,                0.85195,                0.56518,                 1.1949,                0.74702,                 1.6506,                0.00307,                0.00307,                0.00307
                     51,                0.70684,                0.59233,                 1.1512,                0.80662,                0.83867,                0.87137,                0.56979,                 1.1965,                0.73357,                 1.6665,              0.0029286,              0.0029286,              0.0029286
                     52,                 0.7231,                0.58321,                 1.1458,                 0.8666,                0.81018,                0.87712,                0.57721,                 1.2058,                0.72268,                 1.6588,              0.0027871,              0.0027871,              0.0027871
                     53,                0.70327,                0.57254,                 1.1449,                0.82012,                0.83849,                0.87582,                0.58447,                 1.1791,                0.71881,                 1.6413,              0.0026457,              0.0026457,              0.0026457
                     54,                0.69148,                0.56565,                 1.1431,                0.87461,                0.77663,                0.87218,                 0.5719,                 1.2189,                0.74044,                 1.6584,              0.0025043,              0.0025043,              0.0025043
                     55,                0.69832,                0.57262,                 1.1427,                0.83742,                0.80335,                  0.871,                0.58769,                 1.1946,                0.72353,                 1.6406,              0.0023629,              0.0023629,              0.0023629
                     56,                 0.6786,                 0.5483,                 1.1271,                0.84733,                0.80598,                0.87631,                0.58587,                 1.1774,                0.70171,                 1.6444,              0.0022214,              0.0022214,              0.0022214
                     57,                0.67231,                0.54524,                 1.1324,                0.87429,                0.76832,                0.86629,                0.57357,                 1.2068,                0.72782,                 1.6679,                0.00208,                0.00208,                0.00208
                     58,                0.68645,                0.54682,                 1.1301,                0.88532,                0.76299,                0.86908,                0.58086,                 1.1849,                0.71694,                 1.6309,              0.0019386,              0.0019386,              0.0019386
                     59,                0.68216,                 0.5362,                 1.1303,                0.84363,                0.78869,                0.86427,                0.57983,                 1.1716,                0.73204,                 1.6391,              0.0017971,              0.0017971,              0.0017971
                     60,                0.52804,                 0.3965,                 1.0812,                0.86469,                0.81228,                0.87211,                0.57834,                 1.2041,                0.72793,                 1.6698,              0.0016557,              0.0016557,              0.0016557
                     61,                0.52328,                0.38584,                 1.0719,                0.85744,                0.82838,                0.87967,                0.58438,                 1.1865,                0.71159,                  1.662,              0.0015143,              0.0015143,              0.0015143
                     62,                 0.5125,                0.36505,                 1.0764,                0.87291,                0.80168,                0.86921,                 0.5831,                 1.1787,                0.70408,                 1.6498,              0.0013729,              0.0013729,              0.0013729
                     63,                0.50828,                0.36941,                 1.0663,                0.85842,                0.80659,                0.87903,                0.58881,                 1.1954,                0.70979,                 1.6436,              0.0012314,              0.0012314,              0.0012314
                     64,                0.49464,                0.35842,                  1.057,                0.84956,                0.81559,                0.86419,                0.58179,                 1.1857,                0.71538,                 1.6498,                0.00109,                0.00109,                0.00109
                     65,                 0.4926,                0.35344,                 1.0517,                0.83405,                0.81657,                0.86786,                0.57652,                  1.185,                0.72422,                 1.6536,             0.00094857,             0.00094857,             0.00094857
                     66,                0.47322,                0.34034,                 1.0441,                0.82385,                0.83774,                0.87543,                 0.5837,                 1.1946,                 0.7283,                 1.6579,             0.00080714,             0.00080714,             0.00080714
                     67,                0.47463,                 0.3411,                 1.0446,                0.85664,                0.79115,                0.86937,                0.58053,                 1.1902,                0.73538,                 1.6489,             0.00066571,             0.00066571,             0.00066571
                     68,                 0.4696,                0.33656,                 1.0383,                0.83451,                0.81603,                 0.8704,                0.58614,                 1.1768,                0.71939,                 1.6442,             0.00052429,             0.00052429,             0.00052429
                     69,                0.46803,                0.32786,                 1.0393,                0.84532,                0.79825,                0.87107,                0.58931,                 1.1697,                0.72467,                 1.6539,             0.00038286,             0.00038286,             0.00038286
