                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.349,                 2.2092,                 1.7223,                0.72899,                0.67928,                0.72854,                0.39318,                 1.4678,                 1.2215,                 2.3224,               0.070175,              0.0033138,              0.0033138
                      1,                 1.1486,                 1.2501,                  1.541,                0.49873,                0.55586,                0.59404,                0.35603,                 1.4054,                 1.5462,                 2.1228,               0.040044,              0.0065156,              0.0065156
                      2,                 1.2311,                 1.3017,                  1.579,                0.51693,                0.59598,                0.54979,                   0.25,                 1.8655,                 2.1863,                  2.784,              0.0097802,              0.0095853,              0.0095853
                      3,                 1.2983,                 1.3662,                  1.662,                0.45501,                0.42459,                0.37784,                0.19106,                 1.7495,                 2.3929,                   2.66,               0.009406,               0.009406,               0.009406
                      4,                 1.2864,                 1.3351,                 1.6504,                0.57528,                0.48214,                0.50872,                0.24417,                 1.9597,                 1.6168,                   3.13,               0.009406,               0.009406,               0.009406
                      5,                 1.2496,                 1.2734,                 1.6165,                 0.7773,                0.69439,                0.77541,                0.40607,                 1.6375,                 1.4001,                 2.4085,               0.009208,               0.009208,               0.009208
                      6,                 1.2175,                 1.2384,                 1.5872,                0.71416,                0.69895,                0.74982,                 0.4358,                 1.4449,                 1.2997,                 2.1876,                0.00901,                0.00901,                0.00901
                      7,                 1.1823,                 1.1702,                 1.5641,                0.81184,                0.70003,                0.78788,                0.45854,                 1.4262,                 1.1656,                 2.1906,               0.008812,               0.008812,               0.008812
                      8,                 1.1603,                 1.1445,                 1.5479,                0.67886,                0.70169,                0.71683,                  0.401,                 1.4995,                 1.3984,                 2.2346,               0.008614,               0.008614,               0.008614
                      9,                  1.129,                 1.0987,                 1.5301,                0.76611,                0.73979,                0.79083,                0.45034,                 1.4946,                 1.1235,                 2.2273,               0.008416,               0.008416,               0.008416
                     10,                 1.1196,                 1.0805,                 1.5124,                0.80247,                0.71756,                0.79105,                0.44455,                 1.5006,                 1.0501,                 2.1909,               0.008218,               0.008218,               0.008218
                     11,                  1.081,                 1.0517,                 1.4814,                0.79071,                0.76258,                0.83133,                0.49283,                 1.3973,                0.97753,                 2.1353,                0.00802,                0.00802,                0.00802
                     12,                  1.039,                0.99667,                 1.4492,                0.79712,                0.74511,                0.81345,                0.47223,                 1.4556,                 1.1111,                 2.1547,               0.007822,               0.007822,               0.007822
                     13,                 1.0313,                0.98055,                 1.4489,                0.84092,                0.74617,                0.83632,                0.48678,                 1.4085,                 1.0136,                 2.1271,               0.007624,               0.007624,               0.007624
                     14,                 1.0051,                0.96916,                 1.4335,                 0.8022,                0.78086,                0.83549,                0.48603,                 1.3876,                0.98307,                 2.1102,               0.007426,               0.007426,               0.007426
                     15,                 1.0032,                0.94124,                  1.417,                0.85284,                0.78385,                0.84887,                0.50338,                 1.3819,                 0.9745,                 2.0915,               0.007228,               0.007228,               0.007228
